LV,NODE,L1,DATA_TIME,U,IR,IX
1,354010389381,A,2019-04-18 08:00:00,229.1714286,7.873935201,20.07064388
1,354010389388,A,2019-04-20 20:00:00,225.875,8.138034736,6.975577399
1,354010389381,A,2019-04-18 08:30:00,229.9428571,-0.98901879,-9.586840019
1,354010389386,A,2019-04-19 12:30:00,228.24,-0.100734942,0.968079481
1,354019022841,A,2019-04-20 13:15:00,228,1.269984777,4.580591726
1,354013332709,A,2019-04-18 01:30:00,231.7666667,12.4127701,-2.413129017
1,354010389386,A,2019-04-18 13:45:00,229.26,-7.112555611,12.62412582
1,354010389388,A,2019-04-20 09:45:00,227.55,16.40039602,1.763531565
1,354010389383,A,2019-04-20 13:45:00,228.5428571,19.45274478,-8.603976663
1,354013332709,A,2019-04-20 14:00:00,229.1166667,3.353540984,7.726937515
1,354019022839,A,2019-04-20 18:15:00,228.0857143,3.748100646,-4.459997783
1,354010389383,A,2019-04-18 14:15:00,229.9428571,27.62430996,7.202027802
1,354010389388,A,2019-04-19 19:00:00,227.3,-8.171044489,-0.835037093
1,354010389388,A,2019-04-20 03:15:00,230.2,3.993486188,3.034862245
1,354010389385,A,2019-04-20 03:30:00,230.24,50.29094031,-1.509997168
1,354010389381,A,2019-04-18 11:30:00,227.8142857,9.528651138,14.83348842
1,354010389381,A,2019-04-19 23:30:00,229.8285714,-19.90165392,8.314101226
1,354019022842,A,2019-04-20 17:15:00,228.2,0,0
1,354010389385,A,2019-04-18 00:15:00,231.24,27.93176645,2.733648908
1,354010389381,A,2019-04-18 01:00:00,233.2,-22.42634144,-7.410992253
1,354013332709,A,2019-04-20 17:00:00,227.45,10.11726627,13.97774584
1,354019022839,A,2019-04-20 17:00:00,228.4142857,13.67571094,13.55586306
1,354013332709,A,2019-04-20 13:15:00,226.8,58.23265688,-1.737534149
1,354010389381,A,2019-04-18 06:15:00,231,-7.952177049,4.724289297
1,354010389383,A,2019-04-20 03:00:00,230.5714286,4.170822768,3.021531007
1,354010389385,A,2019-04-19 11:15:00,228.74,3.09563479,-1.226038151
1,354013332709,A,2019-04-20 11:30:00,228.0333333,21.1587332,10.12391323
1,354019022839,A,2019-04-19 07:30:00,229.3142857,13.05164525,28.37305783
1,354019022842,A,2019-04-19 19:00:00,227.8,0,0
1,354010389382,A,2019-04-18 09:00:00,228.56,33.19170038,25.44184043
1,354019022841,A,2019-04-18 03:15:00,231.6,-0.392226283,5.105866212
1,354010389385,A,2019-04-18 03:30:00,231.7,26.21091667,-10.65887675
1,354019022839,A,2019-04-20 19:45:00,226.5857143,3.819050112,11.85331544
1,354019022841,A,2019-04-20 04:00:00,230.5,-0.554058491,5.133207923
1,354010389381,A,2019-04-19 09:45:00,229.3,-1.861662537,4.340344402
1,354010389382,A,2019-04-20 02:30:00,229.5,39.89652087,28.91665983
1,354010389382,A,2019-04-20,229.96,22.88962508,38.60829457
1,354010389386,A,2019-04-19 20:15:00,227.74,4.002236685,-0.494880951
1,354010389383,A,2019-04-19 00:30:00,230.6571429,3.784356198,2.401380582
1,354010389385,A,2019-04-18 08:30:00,229.7,13.55781522,7.050447809
1,354010389381,A,2019-04-18 21:45:00,227.8571429,-3.899077323,4.265652329
1,354010389386,A,2019-04-19 06:00:00,230.5,-3.076671516,7.252563299
1,354010389385,A,2019-04-19 22:45:00,229.32,41.76871797,2.341158579
1,354010389383,A,2019-04-19 11:30:00,228.7142857,-2.398579517,-6.648592763
1,354019022842,A,2019-04-18 10:45:00,229.1,0,0
1,354010389381,A,2019-04-20 20:00:00,225.7857143,22.07581895,6.837919086
1,354010389383,A,2019-04-19 08:30:00,229.0571429,61.56442466,3.234328251
1,354010389385,A,2019-04-20 20:30:00,226.8,29.82093686,-8.351225419
1,354019022839,A,2019-04-19 16:45:00,229.2142857,-1.205773792,3.795090877
